GLOBALEVENTID,SQLDATE,Actor1Geo_FullName,Actor2Geo_FullName,DATEADDED,SOURCEURL,AvgTone
468470506,20150920,"Lagos, Lagos, Nigeria","Lagos, Lagos, Nigeria",20150920003000,http://thenationonlineng.net/president-buhari-must-read-this/,-3.31491712707183
468475546,20150920,"Calabar, Cross River, Nigeria","Calabar, Cross River, Nigeria",20150920010000,http://thenationonlineng.net/unruly-libido/,-6.11940298507463
468475547,20150920,"Calabar, Cross River, Nigeria","Lagos, Lagos, Nigeria",20150920010000,http://thenationonlineng.net/unruly-libido/,-6.11940298507463
468475568,20150920,"Calabar, Cross River, Nigeria","Lagos, Lagos, Nigeria",20150920010000,http://thenationonlineng.net/unruly-libido/,-6.11940298507463
468812780,20150920,"Abakaliki, Ebonyi, Nigeria","Abakaliki, Ebonyi, Nigeria",20150921111500,http://nationalmirroronline.net/new/police-parade-3-kidnap-suspects-in-ebonyi/,-5.49132947976879
468845057,20150921,"Buhari, Kano, Nigeria","Buhari, Kano, Nigeria",20150921131500,http://omojuwa.com/2015/09/apc-accuses-pdp-of-finding-faults-unnecessarily/,-10.4575163398693
468845062,20150921,"Maiduguri, Borno, Nigeria","Maiduguri, Borno, Nigeria",20150921131500,http://www.thestar.com.my/News/World/2015/09/21/At-least-54-people-killed-in-bomb-blasts-in-Nigerias-Maiduguri/,-9.4339622641509
468852973,20150921,"Maiduguri, Borno, Nigeria","Maiduguri, Borno, Nigeria",20150921134500,http://www.canindia.com/2015/09/nine-killed-over-40-injured-in-nigeria-blasts/,-16.3489712130805
468875569,20150921,"Adamawa, Nigeria (general), Nigeria","Adamawa, Nigeria (general), Nigeria",20150921150000,http://www.trtturk.com/haber/nijeryada-camiye-bombali-saldiri-duzenlendi-151844.html,-6.72268907563025
468881717,20150921,"Kano, Kano, Nigeria","Kano, Kano, Nigeria",20150921153000,http://www.longwarjournal.org/archives/2015/09/the-islamic-state-west-africa-continues-to-utilize-women-as-suicide-bombers.php,-11.2236944660951
468907082,20150921,"Borno State, Borno, Nigeria","Borno State, Borno, Nigeria",20150921170000,http://www.mfs-theothernews.com/search/label/Islam%20and%20slaves,-4.99270072992701
468907083,20150921,France,France,20150921170000,http://www.mfs-theothernews.com/search/label/Islam%20and%20slaves,-4.99270072992701
468938374,20150921,"Maiduguri, Borno, Nigeria","Borno State, Borno, Nigeria",20150921190000,http://thenationonlineng.net/update-54-killed-95-injured-in-maiduguri-blasts/,-12.3853211009174
468938386,20150921,"Maiduguri, Borno, Nigeria","Borno State, Borno, Nigeria",20150921190000,http://thenationonlineng.net/update-54-killed-95-injured-in-maiduguri-blasts/,-12.3853211009174
468938387,20150921,"Maiduguri, Borno, Nigeria","Maiduguri, Borno, Nigeria",20150921190000,http://thenationonlineng.net/update-54-killed-95-injured-in-maiduguri-blasts/,-12.3853211009174
468952114,20150921,"Chibok, Borno, Nigeria","Chibok, Borno, Nigeria",20150921200000,http://www.tv360nigeria.com/army-to-rescue-chibok-girls-as-whereabouts-remain-unknown/,-0.77519379844961
468955227,20150921,"Akure, Ondo, Nigeria","Akure, Ondo, Nigeria",20150921201500,http://dailyindependentnig.com/2015/09/update-falaes-abductors-demand-n100m/,-4.14746543778801
468982673,20150921,"Akure, Ondo, Nigeria","Akure, Ondo, Nigeria",20150921223000,http://ireports-ng.com/2015/09/21/olu-falaes-kinsmen-deploy-hunters-to-rescue-him-from-kidnappers-as-abductors-demand-n100m-ransom/,-4.60048426150121
468994323,20150921,"Chibok, Borno, Nigeria","Chibok, Borno, Nigeria",20150921233000,http://nationalmirroronline.net/new/chibok-girls-and-the-unanswered-questions-2/,-5.59610705596107
468994324,20150921,"Buhari, Kano, Nigeria","Buhari, Kano, Nigeria",20150921233000,http://nationalmirroronline.net/new/chibok-girls-and-the-unanswered-questions-2/,-5.59610705596107
468994349,20150921,"Ilado, Ondo, Nigeria","Ilado, Ondo, Nigeria",20150921233000,http://nationalmirroronline.net/new/falae-kidnapped-abductors-demand-n100m-ransom/,-4.0948275862069
468994350,20150921,"Ondo State, Ondo, Nigeria","Ilado, Ondo, Nigeria",20150921233000,http://nationalmirroronline.net/new/falae-kidnapped-abductors-demand-n100m-ransom/,-4.0948275862069
468997096,20150921,"Igbotako, Ondo, Nigeria","Akungba, Ondo, Nigeria",20150921234500,http://thenationonlineng.net/falaes-abductors-demand-n100m/,-3.31325301204819
468997097,20150921,"Igbotako, Ondo, Nigeria","Okitipupa, Ondo, Nigeria",20150921234500,http://thenationonlineng.net/falaes-abductors-demand-n100m/,-3.31325301204819
468997098,20150921,"Igbotako, Ondo, Nigeria","Olugbo, Nigeria (general), Nigeria",20150921234500,http://thenationonlineng.net/falaes-abductors-demand-n100m/,-3.31325301204819
468997099,20150921,"Olugbo, Nigeria (general), Nigeria","Okitipupa, Ondo, Nigeria",20150921234500,http://thenationonlineng.net/falaes-abductors-demand-n100m/,-3.31325301204819
469008533,20150922,"Yobe, Yobe, Nigeria","Yobe, Yobe, Nigeria",20150922001500,http://news.xinhuanet.com/english/2015-09/22/c_134646167.htm,-1.62337662337663
469008537,20150922,"Abuja, Abuja Federal Capital Territory, Nigeria","Chibok, Borno, Nigeria",20150922001500,http://news.xinhuanet.com/english/2015-09/22/c_134646167.htm,-1.62337662337663
469008538,20150922,"Chibok, Borno, Nigeria","Chibok, Borno, Nigeria",20150922001500,http://news.xinhuanet.com/english/2015-09/22/c_134646167.htm,-1.62337662337663
469008539,20150922,"Lagos, Lagos, Nigeria","Chibok, Borno, Nigeria",20150922001500,http://news.xinhuanet.com/english/2015-09/22/c_134646167.htm,-1.62337662337663
469008540,20150922,"Lagos, Lagos, Nigeria","Lagos, Lagos, Nigeria",20150922001500,http://news.xinhuanet.com/english/2015-09/22/c_134646167.htm,-1.62337662337663
469014429,20150922,"Ilado, Ondo, Nigeria","Ilado, Ondo, Nigeria",20150922003000,http://www.punchng.com/news/gunmen-demand-n100m-ransom-to-release-olu-falae/,-4.80349344978166
469023355,20150922,"Fulani, Zamfara, Nigeria","Fulani, Zamfara, Nigeria",20150922010000,http://www.vanguardngr.com/2015/09/how-fulani-herdsmen-attacked-falae-police/,-4.78723404255319
469043073,20150921,"Kayode, Nigeria (general), Nigeria","Akure, Ondo, Nigeria",20150922023000,http://sunnewsonline.com/new/hoodlums-kidnap-falae-in-ondo/,-3.62756952841597
469043074,20150921,"Kayode, Nigeria (general), Nigeria","Kaduna, Kaduna, Nigeria",20150922023000,http://sunnewsonline.com/new/hoodlums-kidnap-falae-in-ondo/,-3.62756952841597
469044748,20150922,"Kano, Kano, Nigeria","Kano, Kano, Nigeria",20150922023000,http://freerepublic.com/focus/f-news/3339685/posts,-11.2135176651306
469044762,20150922,"Akure, Ondo, Nigeria","Akure, Ondo, Nigeria",20150922023000,http://sunnewsonline.com/new/hoodlums-kidnap-falae-in-ondo/,-3.62756952841597
469055312,20150922,"Maiduguri, Borno, Nigeria","Maiduguri, Borno, Nigeria",20150922030000,http://www.mdzol.com/nota/630598-un-atentado-de-boko-haram-causo-85-muertes/,-11.1111111111111
469055313,20150922,"Maiduguri, Borno, Nigeria","Maiduguri, Borno, Nigeria",20150922030000,http://www.mdzol.com/nota/630598-un-atentado-de-boko-haram-causo-85-muertes/,-11.1111111111111
